gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Tubb6,0.33440958988751635,0.2395956534079807,0.604811629847933,0.998929231587758,False,False,False
Def8,0.20005026981456486,0.7608835536909224,-0.772745305083476,1.0,False,False,False
Itga3,0.7169873463040597,0.23311824456076974,-0.0713911142314361,0.998929231587758,False,False,False
Itfg2,0.11720509551313711,0.8373869461727518,-0.270624222338363,0.998929231587758,False,False,False
Tulp3,-0.14205418782790802,0.903839547676815,0.0823630097833856,0.998929231587758,False,False,False
Gtf2h4,0.15730034845072455,0.785935581736791,-0.435032451050274,0.998929231587758,False,False,False
Tubb5,-0.351918663530161,0.2496951538263411,-0.404200886832388,0.998929231587758,False,False,False
Jup,0.7093583850795058,0.0010805091388890115,-0.656074544036398,0.998929231587758,True,False,False
Nom1,-0.10013059639596499,0.8467375358429168,-0.240884184714847,0.998929231587758,False,False,False
Ergic1,0.19897051997481158,0.6493134005367761,-0.277217775591281,0.998929231587758,False,False,False
Acap1,0.08942454247610143,0.9212876113087324,-1.29562386905945,1.0,False,False,False
Ifrd1,0.3681856731442,0.507921620540462,0.657979069708897,0.998929231587758,False,False,False
Stk38l,0.18861589017565938,0.840909770276769,-0.135108773843511,0.998929231587758,False,False,False
Gstt1,0.9094788412790614,0.28935060630203924,-0.849994089101824,1.0,False,False,False
Gstt3,0.9240590673845847,0.009382416346832949,-0.362352064368441,0.998929231587758,True,False,False
Ddt,-0.06655675165020235,0.9541212383803394,-0.201115496633872,0.998929231587758,False,False,False
Ddx18,0.03651529087823367,0.9560126938571657,0.151673142492124,0.998929231587758,False,False,False
Ubl3,0.24699801195375812,0.4972826702659458,-0.349447567472454,0.998929231587758,False,False,False
Eef1e1,0.16581666806164336,0.7347650256278095,-0.22141425990587,0.998929231587758,False,False,False
Akt1,0.4001776307558593,0.1988916527351725,-0.215274194131016,0.998929231587758,False,False,False
Cldn15,0.953312734384663,0.6923490467785859,-0.392790169555107,0.998929231587758,False,False,False
Il16,-0.5382658392092073,0.10459720758892245,-0.0724990695398962,0.998929231587758,False,False,False
Tcirg1,-0.012858715999822337,0.9881259711302826,-0.419802991774614,0.998929231587758,False,False,False
Naglu,0.07152011676928799,0.92312137886624,-1.1392516885666,1.0,False,False,False
Coasy,0.13364596493310615,0.831917934752722,-0.391850894884355,0.998929231587758,False,False,False
Smo,0.11495599999364554,0.9377267186151479,-0.44920865898358,0.998929231587758,False,False,False
Tspan33,0.18210350313972637,0.7480850991352528,-0.31724773816275,0.998929231587758,False,False,False
Crnkl1,0.08294741197301622,0.8960052661581993,-0.589691245163077,0.998929231587758,False,False,False
Rin2,-0.517341809211437,0.358366514295343,-0.717180442734145,0.998929231587758,False,False,False
Rtcb,0.03835232239355755,0.9434811446157298,1.53129091177601,1.0,False,False,False
Pwp1,0.09815355503103393,0.8839597681770673,0.117924763053595,0.998929231587758,False,False,False
Fbxo7,-0.14155578395849014,0.785935581736791,-0.157182577207472,0.998929231587758,False,False,False
Capns1,0.012876618936299948,0.9905154418917023,-0.574051580953664,0.998929231587758,False,False,False
Clpb,-0.07654133690338422,0.9121213349185562,-0.356704963554728,1.0,False,False,False
Septin7,0.14372281125717196,0.6808793501154591,-0.147093965645499,0.998929231587758,False,False,False
Zdhhc4,-0.12100878103055197,0.7959840117487672,-0.303146217084036,0.998929231587758,False,False,False
Rac1,0.17698821713033036,0.5574964573262796,-0.397544417495266,0.998929231587758,False,False,False
Nup214,-0.13875005169863106,0.7838539932828572,-0.0765439149241196,0.998929231587758,False,False,False
Aif1l,-0.4529039342390886,0.8795287063756774,0.0301572174340041,0.999942156951861,False,False,False
Cpa3,0.010533421945037993,0.997548237417998,0.316530005018242,1.0,False,False,False
Ugp2,0.34861266060599727,0.14531943716345597,-0.0011856777875571,0.999987679699119,False,False,False
