gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Hk2,-0.3037533426396557,0.20679518273712946,-0.281768624902727,0.999987547004426,False,False,False
Myo18a,-0.1567171117051405,0.5823320075742748,-0.775010879257653,0.999987547004426,False,False,False
Haao,-0.3958094691275612,0.015063264838446604,-0.28244354735213,0.999987547004426,True,False,False
Cd52,-0.4677833693275311,0.0022123639510377414,-0.646743821494763,0.999987547004426,True,False,False
Abhd15,-0.03793864671698926,0.907263466291079,-0.748011035637644,0.999987547004426,False,False,False
Loxl3,0.1844003901135375,0.5309667882592743,-0.782084267109672,0.999987547004426,False,False,False
Kat2b,-0.0035024518974125073,0.9911527556919748,0.190376580693377,0.999987547004426,False,False,False
Rab5b,-0.015359674160058739,0.956477673218313,-0.0855521661623637,0.999987547004426,False,False,False
Aire,-0.39614918316936215,0.4912116257715864,-0.747813591325085,0.999987547004426,False,False,False
Icosl,-0.3327990617426948,0.043094782797088414,-0.528406602635893,0.999987547004426,True,False,False
Rpl13,0.04323821360459253,0.8248436555234451,-0.230064157330128,0.999987547004426,False,False,False
Tubgcp3,-0.17989097491570105,0.41077329218631653,-0.0760702222891334,0.999987547004426,False,False,False
Polr3d,0.1355645210124268,0.596329453175993,-0.0544216874033392,0.999987547004426,False,False,False
Tcf7,0.140193727117494,0.598082923715859,-0.314319967564254,0.999987547004426,False,False,False
Ddx3x,-0.06280489799669534,0.747629184426085,-0.0376279237520381,0.999987547004426,False,False,False
Slc5a5,-1.247783984585325,0.0011959038658521848,-0.158133119078051,0.999987547004426,True,False,False
Usp32,-0.35092045103712405,0.22067498034311075,-0.308048066954647,0.999987547004426,False,False,False
Txnrd3,0.7520614315539171,0.21508487695121106,0.412973617022802,0.999987547004426,False,False,False
Fasl,-0.7320852080905733,0.28055712805233024,0.406891428688715,0.999987547004426,False,False,False
Zfp512b,-0.18795863762692347,0.688421911744931,-0.211309952693166,0.999987547004426,False,False,False
Dnajc5,-0.07104264694621017,0.6771129844910931,-0.826480509100995,0.999987547004426,False,False,False
Tpd52l2,0.06076700796197439,0.7290721079298467,-0.492734502176542,0.999987547004426,False,False,False
Fmr1,-0.22896950131730998,0.15354887681848933,-0.181162950785028,0.999987547004426,False,False,False
Bcl11a,-0.2008235075761249,0.24124646948866327,0.116063398151815,0.999987547004426,False,False,False
Pxmp4,-0.14215696444248252,0.3859329075441424,-0.397236755118303,0.999987547004426,False,False,False
Dlg3,-0.2534934983106956,0.7435686936317573,-1.12383834711051,0.999987547004426,False,False,False
Gnb1l,-0.17495312095476576,0.6659510446810368,0.702543480575233,0.999987547004426,False,False,False
Smarcb1,0.030740448656056924,0.8767113876589585,0.0143584913024517,0.999987547004426,False,False,False
Hip1r,-0.31614498780943473,0.18776725112221018,0.372519678477543,0.999987547004426,False,False,False
Nsun5,-0.19330276677459426,0.3867063608555613,-0.0360145701562393,0.999987547004426,False,False,False
Slc7a7,0.6706777544948432,3.430764761243836e-08,-1.04898272104703,0.999987547004426,True,False,False
Oxa1l,0.020799381686446402,0.9229348053929266,-0.274753148174104,0.999987547004426,False,False,False
Heatr6,-0.25045467587342357,0.14180894514051645,-0.584745433941925,0.999987547004426,False,False,False
Ccl3,-1.4031931379446214,5.192342755945823e-18,-0.143937283614767,0.999987547004426,True,False,False
Icam4,0.425279401767285,0.7190183672390755,-0.439398161610921,0.999987547004426,False,False,False
Ilf2,-0.040879761921614945,0.8473217324921501,-0.487699335366094,0.999987547004426,False,False,False
Chtop,-0.14106776012328606,0.4310950266100154,-0.299150313190072,0.999987547004426,False,False,False
Snapin,0.3269805603601713,0.009450320708781264,-0.123231768217988,0.999987547004426,True,False,False
S100a4,0.2881624128735814,0.05200346724565802,-0.301143238897889,0.999987547004426,False,False,False
